Site Name,Lat,Lon,Model,Experiment,Year,Avg Ann CFFDI,DPY_HI,DPY_VH,"DPY_SEV",DPY_EXT,DPY_CAT,DPY_GE_HI,DPY_GE_VH,DPY_GE_SEV,DPY_GE_EXT
Laverton,-37.86,144.76,CESM1-CAM5,rcp85,2030,2439.66,31,11.77,2.17,0.5,0.2,45.64,14.64,2.87,0.7
Laverton,-37.86,144.76,CESM1-CAM5,rcp85,2050,2628.78,33.67,13.3,2.8,0.47,0.33,50.57,16.9,3.6,0.8
Laverton,-37.86,144.76,CESM1-CAM5,rcp85,2070,2901.48,38.2,15.03,3.43,0.77,0.37,57.8,19.6,4.57,1.14
Laverton,-37.86,144.76,CESM1-CAM5,rcp85,2090,3130.08,44.03,16.37,4.1,0.93,0.47,65.9,21.87,5.5,1.4
Laverton,-37.86,144.76,GFDL-ESM2M,rcp45,2030,2809.34,37.73,13.9,3,0.47,0.33,55.43,17.7,3.8,0.8
Laverton,-37.86,144.76,GFDL-ESM2M,rcp45,2050,2460.87,31.67,12.03,2.27,0.3,0.27,46.54,14.87,2.84,0.57
Laverton,-37.86,144.76,GFDL-ESM2M,rcp45,2070,2894.99,39.03,14.8,3.3,0.4,0.33,57.86,18.83,4.03,0.73
Laverton,-37.86,144.76,GFDL-ESM2M,rcp45,2090,2545.41,33.53,12.4,2.3,0.37,0.23,48.83,15.3,2.9,0.6
Laverton,-37.86,144.76,GFDL-ESM2M,rcp85,2030,2534.94,33,12.4,2.2,0.33,0.27,48.2,15.2,2.8,0.6
Laverton,-37.86,144.76,GFDL-ESM2M,rcp85,2050,2571.91,33.77,12.9,2.4,0.33,0.27,49.67,15.9,3,0.6
Laverton,-37.86,144.76,GFDL-ESM2M,rcp85,2070,2982.58,41.13,15.23,3.53,0.53,0.33,60.75,19.62,4.39,0.86
Laverton,-37.86,144.76,GFDL-ESM2M,rcp85,2090,3480.43,52.27,19.97,4.63,0.9,0.43,78.2,25.93,5.96,1.33
Laverton,-37.86,144.76,MIROC5,rcp45,2030,2253.4,28.7,10.83,1.63,0.37,0.17,41.7,13,2.17,0.54
Laverton,-37.86,144.76,MIROC5,rcp45,2050,2236.53,28.03,11,1.57,0.4,0.13,41.13,13.1,2.1,0.53
Laverton,-37.86,144.76,MIROC5,rcp45,2070,2309.27,29.33,11.37,1.7,0.43,0.13,42.96,13.63,2.26,0.56
Laverton,-37.86,144.76,MIROC5,rcp45,2090,2358.59,30.5,11.73,1.8,0.43,0.17,44.63,14.13,2.4,0.6
Laverton,-37.86,144.76,MIROC5,rcp85,2030,2222.16,27.8,10.63,1.57,0.33,0.17,40.5,12.7,2.07,0.5
Laverton,-37.86,144.76,MIROC5,rcp85,2050,2283.56,28.73,11.23,1.67,0.37,0.17,42.17,13.44,2.21,0.54
Laverton,-37.86,144.76,MIROC5,rcp85,2070,2384.22,30.53,11.83,1.87,0.5,0.17,44.9,14.37,2.54,0.67
Laverton,-37.86,144.76,MIROC5,rcp85,2090,2394.54,30.87,12.07,2.17,0.4,0.2,45.71,14.84,2.77,0.6
Laverton,-37.86,144.76,OBS,historical,1995,2208.08,26.7,10.33,1.67,0.23,0.2,39.13,12.43,2.1,0.43
Mackay,-21.12,149.22,CESM1-CAM5,rcp45,2030,1286.73,4.4,0.17,0,0,0,4.57,0.17,0,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp45,2050,1334.91,5.1,0.17,0.03,0,0,5.3,0.2,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp45,2070,1292.48,4.5,0.17,0.03,0,0,4.7,0.2,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp45,2090,1319.65,4.67,0.2,0.03,0,0,4.9,0.23,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp85,2030,1288.51,4.43,0.13,0.03,0,0,4.59,0.16,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp85,2050,1416,6.07,0.2,0.03,0,0,6.3,0.23,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp85,2070,1410.68,6.2,0.27,0.03,0,0,6.5,0.3,0.03,0
Mackay,-21.12,149.22,CESM1-CAM5,rcp85,2090,1441.19,7.03,0.27,0.03,0,0,7.33,0.3,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp45,2030,1405.74,5.03,0.17,0,0,0,5.2,0.17,0,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp45,2050,1410.17,5.43,0.13,0.03,0,0,5.59,0.16,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp45,2070,1569.15,6.97,0.23,0.03,0,0,7.23,0.26,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp45,2090,1373.84,5.13,0.23,0.03,0,0,5.39,0.26,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp85,2030,1456.54,5.83,0.2,0.03,0,0,6.06,0.23,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp85,2050,1518.71,6.67,0.2,0.03,0,0,6.9,0.23,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp85,2070,1415.95,6.1,0.27,0.03,0,0,6.4,0.3,0.03,0
Mackay,-21.12,149.22,GFDL-ESM2M,rcp85,2090,1542.87,7.63,0.3,0.03,0,0,7.96,0.33,0.03,0
Mackay,-21.12,149.22,MIROC5,rcp45,2030,1349.59,5.17,0.17,0,0,0,5.34,0.17,0,0
Mackay,-21.12,149.22,MIROC5,rcp45,2050,1333.42,5.03,0.2,0,0,0,5.23,0.2,0,0
Mackay,-21.12,149.22,MIROC5,rcp45,2070,1354.58,5.2,0.17,0.03,0,0,5.4,0.2,0.03,0
Mackay,-21.12,149.22,MIROC5,rcp45,2090,1440.34,6.37,0.2,0.03,0,0,6.6,0.23,0.03,0
Mackay,-21.12,149.22,MIROC5,rcp85,2030,1392.41,5.5,0.17,0,0,0,5.67,0.17,0,0
Mackay,-21.12,149.22,MIROC5,rcp85,2050,1416.24,6.17,0.2,0.03,0,0,6.4,0.23,0.03,0
Mackay,-21.12,149.22,MIROC5,rcp85,2070,1456.39,6.5,0.23,0.03,0,0,6.76,0.26,0.03,0
Mackay,-21.12,149.22,MIROC5,rcp85,2090,1457.67,6.93,0.27,0.03,0,0,7.23,0.3,0.03,0
Mackay,-21.12,149.22,OBS,historical,1995,1303.29,3.87,0.17,0,0,0,4.04,0.17,0,0
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp45,2030,8792.94,111.3,127.37,27.27,2.4,0.13,268.47,157.17,29.8,2.53
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp45,2050,9503.09,106.77,133.67,34.87,3.7,0.23,279.24,172.47,38.8,3.93
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp45,2070,9701.78,104.1,135.63,37.8,3.77,0.27,281.57,177.47,41.84,4.04
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp45,2090,9826.03,101.7,137.97,39.13,3.8,0.3,282.9,181.2,43.23,4.1
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp85,2030,8961.78,108.23,130.2,28.77,2.8,0.13,270.13,161.9,31.7,2.93
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp85,2050,10144.04,103.6,142.23,41.27,4.33,0.33,291.76,188.16,45.93,4.66
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp85,2070,10051.87,98.27,135.47,42.87,5.2,0.5,282.31,184.04,48.57,5.7
Meekatharra,-26.61,118.54,CESM1-CAM5,rcp85,2090,10613.71,93.07,142.07,48.1,6.9,0.63,290.77,197.7,55.63,7.53
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp45,2030,11002.06,96.43,153.3,49.1,5.87,0.53,305.23,208.8,55.5,6.4
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp45,2050,9839.31,105.13,142.03,36.4,3.77,0.33,287.66,182.53,40.5,4.1
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp45,2070,10885.35,95.1,148.4,48.87,6.67,0.53,299.57,204.47,56.07,7.2
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp45,2090,9940.98,100.07,146.63,36.93,3.8,0.27,287.7,187.63,41,4.07
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp85,2030,9972.25,103.43,144.27,37.5,4.1,0.17,289.47,186.04,41.77,4.27
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp85,2050,10835.43,94.57,148.1,48.5,6.3,0.57,298.04,203.47,55.37,6.87
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp85,2070,10810.47,95.17,148.8,47.93,6.43,0.6,298.93,203.76,54.96,7.03
Meekatharra,-26.61,118.54,GFDL-ESM2M,rcp85,2090,11979.74,88.17,153.8,61.57,9.53,1.13,314.2,226.03,72.23,10.66
Meekatharra,-26.61,118.54,MIROC5,rcp45,2030,8850.01,105.67,129.67,28.03,2.5,0.03,265.9,160.23,30.56,2.53
Meekatharra,-26.61,118.54,MIROC5,rcp45,2050,8805.59,105.1,127.93,28.53,2.5,0.07,264.13,159.03,31.1,2.57
Meekatharra,-26.61,118.54,MIROC5,rcp45,2070,8722.72,104.77,127.9,27.57,2.33,0.03,262.6,157.83,29.93,2.36
Meekatharra,-26.61,118.54,MIROC5,rcp45,2090,9036.97,103.57,128.53,31.63,3.1,0.1,266.93,163.36,34.83,3.2
Meekatharra,-26.61,118.54,MIROC5,rcp85,2030,8822.66,106,128.83,28.03,2.43,0.07,265.36,159.36,30.53,2.5
Meekatharra,-26.61,118.54,MIROC5,rcp85,2050,9090.32,103.57,130.27,31.33,3,0.1,268.27,164.7,34.43,3.1
Meekatharra,-26.61,118.54,MIROC5,rcp85,2070,9178.08,101.77,131.1,32.97,3.2,0.07,269.11,167.34,36.24,3.27
Meekatharra,-26.61,118.54,MIROC5,rcp85,2090,9029.62,102.3,127.57,32.3,3.23,0.1,265.5,163.2,35.63,3.33
Meekatharra,-26.61,118.54,OBS,historical,1995,8577.58,107.9,126.53,23.83,1.77,0.07,260.1,152.2,25.67,1.84
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2030,2678.93,38.63,14.73,3.2,0.53,0.03,57.12,18.49,3.76,0.56
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2050,2887.32,42.9,16.47,3.5,0.7,0.17,63.74,20.84,4.37,0.87
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2070,2914.83,43.57,16.6,3.63,0.8,0.2,64.8,21.23,4.63,1
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2090,2988.51,44.57,17.27,3.9,0.83,0.2,66.77,22.2,4.93,1.03
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2030,2862.61,41.93,16.23,3.43,0.73,0.2,62.52,20.59,4.36,0.93
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2050,3057.05,45.4,17.73,3.9,1,0.27,68.3,22.9,5.17,1.27
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2070,3366,53.07,19.27,4.73,1.57,0.4,79.04,25.97,6.7,1.97
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2090,3624.09,58.57,21.23,5.43,1.8,0.6,87.63,29.06,7.83,2.4
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2030,3228,52.5,18.4,4.17,0.77,0.3,76.14,23.64,5.24,1.07
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2050,2873.79,42.9,16.03,3.7,0.63,0.1,63.36,20.46,4.43,0.73
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2070,3316.62,53.83,19.53,4.43,0.97,0.2,78.96,25.13,5.6,1.17
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2090,2949.78,45.2,16.5,3.57,0.67,0.13,66.07,20.87,4.37,0.8
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp85,2030,2935.79,45.77,15.77,3.53,0.7,0.1,65.87,20.1,4.33,0.8
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp85,2050,2989.66,46.73,16.97,3.83,0.63,0.17,68.33,21.6,4.63,0.8
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp85,2070,3404.78,54.97,20.47,4.33,0.97,0.37,81.11,26.14,5.67,1.34
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp85,2090,3966.04,67.53,25.17,5.8,1.67,0.53,100.7,33.17,8,2.2
Melbourne-AP,-37.68,144.84,MIROC5,rcp45,2030,2646.4,38.43,14.6,3,0.47,0.07,56.57,18.14,3.54,0.54
Melbourne-AP,-37.68,144.84,MIROC5,rcp45,2050,2630.02,38.27,14.63,3.07,0.43,0.07,56.47,18.2,3.57,0.5
Melbourne-AP,-37.68,144.84,MIROC5,rcp45,2070,2713.01,39.5,15.37,3.4,0.43,0.07,58.77,19.27,3.9,0.5
Melbourne-AP,-37.68,144.84,MIROC5,rcp45,2090,2772.03,40.73,15.97,3.53,0.43,0.1,60.76,20.03,4.06,0.53
Melbourne-AP,-37.68,144.84,MIROC5,rcp85,2030,2619.22,38.37,14.53,2.8,0.5,0.03,56.23,17.86,3.33,0.53
Melbourne-AP,-37.68,144.84,MIROC5,rcp85,2050,2687.59,39.43,14.9,3.3,0.43,0.1,58.16,18.73,3.83,0.53
Melbourne-AP,-37.68,144.84,MIROC5,rcp85,2070,2799.57,40.97,16.1,3.57,0.5,0.07,61.21,20.24,4.14,0.57
Melbourne-AP,-37.68,144.84,MIROC5,rcp85,2090,2806.48,41.03,16.37,3.7,0.63,0.1,61.83,20.8,4.43,0.73
Melbourne-AP,-37.68,144.84,OBS,historical,1995,2553.32,35.73,13.8,2.67,0.4,0.03,52.63,16.9,3.1,0.43
Mildura,-34.23,142.08,CESM1-CAM5,rcp45,2030,5605.17,110.53,59.17,8.5,1.1,0.23,179.53,69,9.83,1.33
Mildura,-34.23,142.08,CESM1-CAM5,rcp45,2050,5936.96,112.37,65.5,9.93,1.33,0.37,189.5,77.13,11.63,1.7
Mildura,-34.23,142.08,CESM1-CAM5,rcp45,2070,6029.19,112.13,67.57,10.47,1.4,0.4,191.97,79.84,12.27,1.8
Mildura,-34.23,142.08,CESM1-CAM5,rcp45,2090,6220.26,113.23,71.47,10.77,1.57,0.63,197.67,84.44,12.97,2.2
Mildura,-34.23,142.08,CESM1-CAM5,rcp85,2030,5820.75,112.47,62.43,9.57,1.13,0.37,185.97,73.5,11.07,1.5
Mildura,-34.23,142.08,CESM1-CAM5,rcp85,2050,6151.84,113.73,69.7,10.4,1.47,0.57,195.87,82.14,12.44,2.04
Mildura,-34.23,142.08,CESM1-CAM5,rcp85,2070,6477.04,112.5,76.33,12.23,1.8,0.77,203.63,91.13,14.8,2.57
Mildura,-34.23,142.08,CESM1-CAM5,rcp85,2090,7089.3,110.63,86.27,15.67,2.63,1.03,216.23,105.6,19.33,3.66
Mildura,-34.23,142.08,GFDL-ESM2M,rcp45,2030,6617.93,116.17,80.17,11.97,1.6,0.67,210.58,94.41,14.24,2.27
Mildura,-34.23,142.08,GFDL-ESM2M,rcp45,2050,6103.59,112.6,69.53,9.73,1.53,0.53,193.92,81.32,11.79,2.06
Mildura,-34.23,142.08,GFDL-ESM2M,rcp45,2070,6964.68,115.77,87.2,13.37,1.93,0.77,219.04,103.27,16.07,2.7
Mildura,-34.23,142.08,GFDL-ESM2M,rcp45,2090,6346.34,120.27,74.13,10.13,1.53,0.53,206.59,86.32,12.19,2.06
Mildura,-34.23,142.08,GFDL-ESM2M,rcp85,2030,6157.49,120.1,68.63,9.43,1.53,0.47,200.16,80.06,11.43,2
Mildura,-34.23,142.08,GFDL-ESM2M,rcp85,2050,6611.26,114.77,79.87,12.27,1.73,0.73,209.37,94.6,14.73,2.46
Mildura,-34.23,142.08,GFDL-ESM2M,rcp85,2070,6911.49,118.6,83.33,13.6,2.13,0.83,218.49,99.89,16.56,2.96
Mildura,-34.23,142.08,GFDL-ESM2M,rcp85,2090,7775.83,115.13,99.53,17.23,3.5,1.4,236.79,121.66,22.13,4.9
Mildura,-34.23,142.08,MIROC5,rcp45,2030,5658.16,114,60.43,8.2,1.43,0.13,184.19,70.19,9.76,1.56
Mildura,-34.23,142.08,MIROC5,rcp45,2050,5648.92,113.9,60.4,8.43,1.37,0.13,184.23,70.33,9.93,1.5
Mildura,-34.23,142.08,MIROC5,rcp45,2070,5623.31,112.73,59.67,8.43,1.33,0.13,182.29,69.56,9.89,1.46
Mildura,-34.23,142.08,MIROC5,rcp45,2090,5926.94,112.8,66.13,9.77,1.43,0.23,190.36,77.56,11.43,1.66
Mildura,-34.23,142.08,MIROC5,rcp85,2030,5687.99,112.9,61.03,8.57,1.47,0.13,184.1,71.2,10.17,1.6
Mildura,-34.23,142.08,MIROC5,rcp85,2050,5754.71,113.8,61.73,9.07,1.4,0.23,186.23,72.43,10.7,1.63
Mildura,-34.23,142.08,MIROC5,rcp85,2070,5802.68,113.2,63.33,9.17,1.4,0.23,187.33,74.13,10.8,1.63
Mildura,-34.23,142.08,MIROC5,rcp85,2090,5717.22,112.07,61.37,9.1,1.43,0.23,184.2,72.13,10.76,1.66
Mildura,-34.23,142.08,OBS,historical,1995,5488.31,111.2,56.23,7.2,1.1,0.1,175.83,64.63,8.4,1.2
Moree,-29.49,149.85,CESM1-CAM5,rcp45,2030,4334.08,114.33,33.13,2.47,0.37,0.03,150.33,36,2.87,0.4
Moree,-29.49,149.85,CESM1-CAM5,rcp45,2050,4615.35,120.1,38.83,3.4,0.37,0.1,162.8,42.7,3.87,0.47
Moree,-29.49,149.85,CESM1-CAM5,rcp45,2070,4711.32,120.6,41.67,3.47,0.47,0.07,166.28,45.68,4.01,0.54
Moree,-29.49,149.85,CESM1-CAM5,rcp45,2090,4933.84,126.53,43.83,4.17,0.6,0.07,175.2,48.67,4.84,0.67
Moree,-29.49,149.85,CESM1-CAM5,rcp85,2030,4653.56,120.9,39.83,3.13,0.47,0.1,164.43,43.53,3.7,0.57
Moree,-29.49,149.85,CESM1-CAM5,rcp85,2050,4792.28,121.97,42.57,3.83,0.57,0.1,169.04,47.07,4.5,0.67
Moree,-29.49,149.85,CESM1-CAM5,rcp85,2070,5118.4,127.33,47.8,4.9,0.63,0.13,180.79,53.46,5.66,0.76
Moree,-29.49,149.85,CESM1-CAM5,rcp85,2090,5718.96,131.83,58.67,7.67,1,0.3,199.47,67.64,8.97,1.3
Moree,-29.49,149.85,GFDL-ESM2M,rcp45,2030,5183.39,137.37,45.93,4.33,0.53,0.1,188.26,50.89,4.96,0.63
Moree,-29.49,149.85,GFDL-ESM2M,rcp45,2050,5076.06,131.03,45.17,4.33,0.6,0.07,181.2,50.17,5,0.67
Moree,-29.49,149.85,GFDL-ESM2M,rcp45,2070,5976.15,142.5,63.27,6.9,0.87,0.07,213.61,71.11,7.84,0.94
Moree,-29.49,149.85,GFDL-ESM2M,rcp45,2090,5588.6,140.73,55.17,5.87,0.77,0.07,202.61,61.88,6.71,0.84
Moree,-29.49,149.85,GFDL-ESM2M,rcp85,2030,5393.26,135.43,51.1,5.43,0.6,0.13,192.69,57.26,6.16,0.73
Moree,-29.49,149.85,GFDL-ESM2M,rcp85,2050,6046.5,135.2,65.13,8.17,0.87,0.37,209.74,74.54,9.41,1.24
Moree,-29.49,149.85,GFDL-ESM2M,rcp85,2070,6189.23,141.67,66.3,8.5,0.97,0.3,217.74,76.07,9.77,1.27
Moree,-29.49,149.85,GFDL-ESM2M,rcp85,2090,7235.78,145.27,87.07,12.33,2.4,0.63,247.7,102.43,15.36,3.03
Moree,-29.49,149.85,MIROC5,rcp45,2030,4265.02,108.53,33.17,2.7,0.4,0.03,144.83,36.3,3.13,0.43
Moree,-29.49,149.85,MIROC5,rcp45,2050,4494.63,113.8,37.37,3.27,0.47,0.07,154.98,41.18,3.81,0.54
Moree,-29.49,149.85,MIROC5,rcp45,2070,4284.75,109.53,33.23,2.73,0.43,0.03,145.95,36.42,3.19,0.46
Moree,-29.49,149.85,MIROC5,rcp45,2090,4588.87,117.43,38.93,3.43,0.47,0.07,160.33,42.9,3.97,0.54
Moree,-29.49,149.85,MIROC5,rcp85,2030,4555.58,115.6,38,3.27,0.53,0.07,157.47,41.87,3.87,0.6
Moree,-29.49,149.85,MIROC5,rcp85,2050,4590.72,116.77,38.33,3.5,0.57,0.1,159.27,42.5,4.17,0.67
Moree,-29.49,149.85,MIROC5,rcp85,2070,4521.53,116.13,37.53,3.23,0.47,0.03,157.39,41.26,3.73,0.5
Moree,-29.49,149.85,MIROC5,rcp85,2090,4464.91,112.23,37.47,3.37,0.5,0.07,153.64,41.41,3.94,0.57
Moree,-29.49,149.85,OBS,historical,1995,4247.84,108.13,30.23,2.43,0.33,0.03,141.15,33.02,2.79,0.36
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp45,2030,2105.6,29.47,11.6,1.87,0.23,0.1,43.27,13.8,2.2,0.33
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp45,2050,2283.57,34.77,12.67,2.27,0.3,0.13,50.14,15.37,2.7,0.43
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp45,2070,2306.11,34.57,12.67,2.4,0.3,0.13,50.07,15.5,2.83,0.43
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp45,2090,2412.52,36.6,13.4,2.77,0.33,0.17,53.27,16.67,3.27,0.5
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp85,2030,2208.83,33.37,11.93,2.3,0.27,0.13,48,14.63,2.7,0.4
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp85,2050,2366.08,35.8,12.87,2.47,0.3,0.13,51.57,15.77,2.9,0.43
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp85,2070,2557.87,40.97,13.93,3.23,0.57,0.2,58.9,17.93,4,0.77
Mt-Gambier,-37.75,140.77,CESM1-CAM5,rcp85,2090,2898.39,50.77,16.33,3.9,1,0.27,72.27,21.5,5.17,1.27
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp45,2030,2613.4,41.83,13.6,2.8,0.27,0.17,58.67,16.84,3.24,0.44
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp45,2050,2290.31,33.17,11.83,1.97,0.33,0.1,47.4,14.23,2.4,0.43
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp45,2070,2846.11,49.23,14.6,3.37,0.33,0.13,67.66,18.43,3.83,0.46
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp45,2090,2423.47,34.87,12.67,2.1,0.3,0.1,50.04,15.17,2.5,0.4
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp85,2030,2281.26,32.17,11.63,1.77,0.27,0.13,45.97,13.8,2.17,0.4
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp85,2050,2583.95,40.17,14.17,2.8,0.33,0.13,57.6,17.43,3.26,0.46
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp85,2070,2770.68,43.3,14.5,3.1,0.33,0.17,61.4,18.1,3.6,0.5
Mt-Gambier,-37.75,140.77,GFDL-ESM2M,rcp85,2090,3475.72,68.67,18.27,4.4,0.77,0.23,92.34,23.67,5.4,1
Mt-Gambier,-37.75,140.77,MIROC5,rcp45,2030,2134.31,29.87,11.63,1.87,0.27,0.07,43.71,13.84,2.21,0.34
Mt-Gambier,-37.75,140.77,MIROC5,rcp45,2050,2154.3,30.23,11.73,2.03,0.27,0.1,44.36,14.13,2.4,0.37
Mt-Gambier,-37.75,140.77,MIROC5,rcp45,2070,2132.44,29.87,11.97,2.07,0.23,0.1,44.24,14.37,2.4,0.33
